src,dst,2017,2018,2019
Amazon Echo,Google Home,0,284,0
Amazon Echo,Hadoop,0,127,0
Amazon Echo,Heroku,0,382,0
Amazon Echo,IBM Cloud or Watson,0,144,0
Amazon Echo,IPython / Jupyter,0,197,0
Amazon Echo,IntelliJ,0,655,0
Amazon Echo,Komodo,0,41,0
Amazon Echo,Light Table,0,34,0
Amazon Echo,Linux,0,950,0
Amazon Echo,Linux-based,0,373,0
Amazon Echo,MacOS,0,1422,0
Amazon Echo,Mainframe,0,49,0
Amazon Echo,NetBeans,0,159,0
Amazon Echo,Node.js,0,1159,0
Amazon Echo,Notepad++,0,574,0
Amazon Echo,PHPStorm,0,224,0
Amazon Echo,Predix,0,37,0
Amazon Echo,PyCharm,0,299,0
Amazon Echo,RStudio,0,117,0
Amazon Echo,Raspberry Pi,0,759,0
Amazon Echo,React,0,630,0
Amazon Echo,RubyMine,0,77,0
Amazon Echo,Salesforce,0,128,0
Amazon Echo,Serverless,0,358,0
Amazon Echo,SharePoint,0,123,0
Amazon Echo,Spark,0,137,0
Amazon Echo,Spring,0,312,0
Amazon Echo,Sublime Text,0,656,0
Amazon Echo,TensorFlow,0,270,0
Amazon Echo,TextMate,0,66,0
Amazon Echo,Torch/PyTorch,0,87,0
Amazon Echo,Vim,0,635,0
Amazon Echo,Visual Studio,0,615,0
Amazon Echo,Visual Studio Code,0,851,0
Amazon Echo,Windows,0,1167,0
Amazon Echo,Windows Phone,0,120,0
Amazon Echo,WordPress,0,451,0
Amazon Echo,Xamarin,0,188,0
Amazon Echo,Xcode,0,367,0
Amazon Echo,Zend,0,47,0
Amazon Echo,iOS,0,537,0
Amazon RDS/Aurora,.NET Core,0,520,0
Amazon RDS/Aurora,AWS,0,2836,0
Amazon RDS/Aurora,Amazon Echo,0,283,0
Amazon RDS/Aurora,Android,0,805,0
Amazon RDS/Aurora,Android Studio,0,520,0
Amazon RDS/Aurora,Angular/Angular.js,0,1135,0
Amazon RDS/Aurora,Apple Watch or Apple TV,0,116,0
Amazon RDS/Aurora,Arduino,0,351,0
Amazon RDS/Aurora,Atom,0,807,0
Amazon RDS/Aurora,Azure,0,441,0
Amazon RDS/Aurora,BSD/Unix,0,6,0
Amazon RDS/Aurora,Coda,0,58,0
Amazon RDS/Aurora,Cordova,0,302,0
Amazon RDS/Aurora,Django,0,563,0
Amazon RDS/Aurora,Drupal,0,185,0
Amazon RDS/Aurora,ESP8266,0,101,0
Amazon RDS/Aurora,Eclipse,0,480,0
Amazon RDS/Aurora,Elasticsearch,0,1263,0
Amazon RDS/Aurora,Emacs,0,226,0
Amazon RDS/Aurora,Firebase,0,535,0
Amazon RDS/Aurora,Gaming console,0,75,0
Amazon RDS/Aurora,Google BigQuery,0,220,0
Amazon RDS/Aurora,Google Cloud Platform/App Engine,0,498,0
Amazon RDS/Aurora,Google Cloud Storage,0,325,0
Amazon RDS/Aurora,Google Home,0,97,0
Amazon RDS/Aurora,Hadoop,0,274,0
Amazon RDS/Aurora,Heroku,0,561,0
Amazon RDS/Aurora,IBM Cloud or Watson,0,108,0
Amazon RDS/Aurora,IPython / Jupyter,0,338,0
Amazon RDS/Aurora,IntelliJ,0,1133,0
Amazon RDS/Aurora,Komodo,0,41,0
Amazon RDS/Aurora,Light Table,0,34,0
Amazon RDS/Aurora,Linux,0,2027,0
Amazon RDS/Aurora,Linux-based,0,828,0
Amazon RDS/Aurora,MacOS,0,2673,0
Amazon RDS/Aurora,Mainframe,0,44,0
Amazon RDS/Aurora,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",0,298,0
Amazon RDS/Aurora,Neo4j,0,183,0
Amazon RDS/Aurora,NetBeans,0,195,0
Amazon RDS/Aurora,Node.js,0,1723,0
Amazon RDS/Aurora,Notepad++,0,689,0
Amazon RDS/Aurora,PHPStorm,0,522,0
Amazon RDS/Aurora,Predix,0,35,0
Amazon RDS/Aurora,PyCharm,0,574,0
Amazon RDS/Aurora,RStudio,0,146,0
Amazon RDS/Aurora,Raspberry Pi,0,641,0
Amazon RDS/Aurora,React,0,1173,0
Amazon RDS/Aurora,RubyMine,0,163,0
Amazon RDS/Aurora,Salesforce,0,192,0
Amazon RDS/Aurora,Serverless,0,731,0
Amazon RDS/Aurora,SharePoint,0,94,0
Amazon RDS/Aurora,Spark,0,294,0
Amazon RDS/Aurora,Spring,0,639,0
Amazon RDS/Aurora,Sublime Text,0,1193,0
Amazon RDS/Aurora,TensorFlow,0,287,0
Amazon RDS/Aurora,TextMate,0,86,0
Amazon RDS/Aurora,Torch/PyTorch,0,90,0
Amazon RDS/Aurora,Vim,0,1495,0
Amazon RDS/Aurora,Visual Studio,0,654,0
Amazon RDS/Aurora,Visual Studio Code,0,1231,0
Amazon RDS/Aurora,Windows,0,1383,0
Amazon RDS/Aurora,Windows Phone,0,79,0
Amazon RDS/Aurora,WordPress,0,655,0
Amazon RDS/Aurora,Xamarin,0,164,0
Amazon RDS/Aurora,Xcode,0,400,0
Amazon RDS/Aurora,Zend,0,49,0
Amazon RDS/Aurora,iOS,0,562,0
Amazon Redshift,.NET Core,0,229,0
Amazon Redshift,AWS,0,1087,0
